k,mu,R,cert,discovery_minus_cert,relative_cert_gap,cert_midpoint,cert_status,log_k,ceiling,headroom,log_k_minus_R,c,weight,rank_num,rank_den,cond,nit,moved_log_c,gate_failed_coords,spread,c_log_k,E_S,sd_S,eta
100,1,4.53529998,4.5352715817,2.839829999956578e-05,6.261614474190918e-06,4.5352996188,PASS,4.60517019,4.65168706,0.116387,0.06987,0.22982195,1.0,1,1,1.0,55,0.0258,0,1.0,1.05836919223,1.16794944956,0.458934055839,-0.365955516764
200,1,5.18575215,5.1857286001,2.354989999986401e-05,4.541269871500513e-06,5.1857510798,PASS,5.29831737,5.32494208,0.13919,0.112565,0.19828963,1.0,1,1,1.0,52,0.0236,0,1.0,1.05060139024,1.17371894245,0.434773363386,-0.399562064005
300,1,5.57157691,5.5715551633,2.1746699999880548e-05,3.903149925266049e-06,5.5715749305,PASS,5.70378247,5.72285867,0.151282,0.132206,0.18336742,1.0,1,1,1.0,51,0.0212,1,1.0,1.04588787662,1.1738919244,0.421092420931,-0.412954296376
400,1,5.84720558,5.8471844468,2.11331999997455e-05,3.614239265339034e-06,5.8472025359,PASS,5.99146455,6.00648075,0.159275,0.144259,0.17402616,1.0,1,1,1.0,64,0.0194,0,1.0,1.04267156791,1.17316639391,0.411768589557,-0.420542990164
500,1,6.06191992,6.0618987647,2.1155299999797705e-05,3.489867942662909e-06,6.0619156836,PASS,6.2146081,6.22706222,0.165142,0.152688,0.16739432,1.0,1,1,1.0,63,0.018,0,1.0,1.0402900967,1.17226716747,0.404788704221,-0.425573059906
600,1,6.237885,6.2378634339,2.156610000003667e-05,3.4572775868802757e-06,6.2378794757,PASS,6.39692966,6.407609,0.169724,0.159045,0.16233243,1.0,1,1,1.0,60,0.0169,0,1.0,1.03842913547,1.17136930913,0.399257903141,-0.429219579072
700,1,6.38700028,6.3869780211,2.22588999996276e-05,3.4850319436071172e-06,6.3869933736,PASS,6.55108034,6.56045241,0.173452,0.16408,0.15828235,1.0,1,1,1.0,61,0.016,0,1.0,1.03692039047,1.17052212433,0.394705110078,-0.432024111098
800,1,6.51640187,6.516378716,2.31539999999697e-05,3.553187857637408e-06,6.5163935081,PASS,6.68461173,6.69297795,0.176576,0.16821,0.15493278,1.0,1,1,1.0,68,0.0152,0,1.0,1.03566547819,1.16973882629,0.390853724486,-0.434277110988
900,1,6.63070936,6.630685134,2.4225999999849535e-05,3.653606075089609e-06,6.630699458,PASS,6.80239476,6.80996139,0.179252,0.171685,0.15209245,1.0,1,1,1.0,57,0.0145,0,1.0,1.03459288542,1.16901119393,0.387526496027,-0.436128098761
1000,1,6.73308609,6.7330606669,2.542309999942205e-05,3.7758465671752684e-06,6.7330745924,PASS,6.90775528,6.91466995,0.181584,0.174669,0.14963798,1.0,1,1,1.0,63,0.014,0,1.0,1.03366254628,1.16833743786,0.384605766908,-0.437688283299
1100,1,6.82579378,6.8257670481,2.673189999935488e-05,3.916306419581706e-06,6.8257806293,PASS,7.00306546,7.00943767,0.183644,0.177272,0.14748505,1.0,1,1,1.0,58,0.0134,1,1.0,1.03284745934,1.16771512115,0.382009044645,-0.439034424698
1200,1,6.91050578,6.9104776477,2.813230000064948e-05,4.070946598737883e-06,6.9104909276,PASS,7.09007684,7.09599016,0.185484,0.179571,0.14557317,1.0,1,1,1.0,60,0.013,0,1.0,1.03212496053,1.16713808707,0.379675700622,-0.440212757356
