k,log_k,delta_log_previous,eta_target,eta_actual,c,c_log_k,E_S,sd_S,R,cert,log_k_minus_R,log_k_minus_cert,discovery_minus_cert,ceiling,headroom_R,headroom_cert,rank,cond,cert_status,grid_type
100,4.605170185988092,,-0.4746,-0.47460000000003666,0.24355820600585368,1.1216269888509032,1.2238220148542347,0.4716013798023966,4.531147015354106,4.5311000739,0.07402317063398556,0.07407011208809156,4.694145410599759e-05,4.651687056553628,0.12054004119952211,0.1205869826536281,1,1.0,PASS,eta_fixed_geometric
103,4.634728988229636,0.02955880224154443,-0.4746,-0.47460000000005853,0.24164727364335636,1.119969624081523,1.2232046324328099,0.47030053188533993,4.558712695396483,4.558666586,0.07601629283315248,0.07606240222963567,4.610939648319601e-05,4.680167507722083,0.12145481232559963,0.12150092172208282,1,1.0,PASS,eta_fixed_geometric
106,4.663439094112067,0.02871010588243136,-0.4746,-0.4745999999999499,0.23982091551100215,1.1183902329797544,1.222607200410157,0.4690417202068698,4.5855102369515,4.5854649127,0.07792885716056652,0.07797418141206691,4.532425150038932e-05,4.707852799770277,0.1223425628187762,0.12238788707027659,1,1.0,PASS,eta_fixed_geometric
109,4.6913478822291435,0.027908788117076658,-0.4746,-0.4745999999999438,0.2380729220561194,1.1168828987040798,1.2220285848259325,0.46782255546978246,4.611581620533045,4.6115370383,0.0797662616960988,0.07981084392914362,4.4582233044820896e-05,4.73478628854608,0.12320466801303542,0.12324925024608024,1,1.0,PASS,eta_fixed_geometric
112,4.718498871295094,0.027150989065950898,-0.4746,-0.4745999999999326,0.2363977065432558,1.1154423115011014,1.221467742072912,0.46664083875462187,4.63696546287971,4.6369215831,0.08153340841538448,0.0815772881950938,4.3879779709321554e-05,4.7610078701355905,0.12404240725588078,0.1240862870355901,1,1.0,PASS,eta_fixed_geometric
115,4.74493212836325,0.02643325706815543,-0.4746,-0.47460000000003233,0.234790226938894,1.1140636912280568,1.2209237097768808,0.46549454230270915,4.661697367911262,4.6616541541,0.08323476045198852,0.08327797426325034,4.321381126182189e-05,4.7865543400155595,0.1248569721042978,0.12490018591555963,1,1.0,PASS,eta_fixed_geometric
118,4.770684624465665,0.025752496102414764,-0.4746,-0.4745999999999545,0.23324591943890222,1.112742721586528,1.2203955987762203,0.4643817926174492,4.685810232990663,4.6857676515,0.08487439147500186,0.08491697296566514,4.258149066327377e-05,4.811459706726056,0.12564947373539237,0.12569205522605564,1,1.0,PASS,eta_fixed_geometric
121,4.795790545596741,0.02510592113107626,-0.4746,-0.47460000000008007,0.23176064164412177,1.1114754940383136,1.2198825860500264,0.4633008555625565,4.709334517164834,4.7092925369,0.08645602843190758,0.08649800869674173,4.1980264834151626e-05,4.835755466810047,0.12642094964521355,0.1264629299100477,1,1.0,PASS,eta_fixed_geometric
124,4.820281565605037,0.024491020008295696,-0.4746,-0.4746000000000163,0.2303306237725387,1.1102584597650778,1.2193839084635825,0.46225012318494507,4.732298476916251,4.732257069,0.08798308868878646,0.08802449660503697,4.140791625051321e-05,4.859470846626216,0.1271723697099656,0.1272137776262161,1,1.0,PASS,eta_fixed_geometric
127,4.844187086458591,0.023905520853554386,-0.4746,-0.4746000000000289,0.2289524266000271,1.1090883883492098,1.218898857224676,0.4612281020325803,4.754728374046606,4.7546875117,0.089458712411985,0.08949957475859094,4.0862346605941013e-05,4.882633015716199,0.12790464166959303,0.12794550401619897,1,1.0,PASS,eta_fixed_geometric
